,rank,prev_rank,name,league,off,def,spi
0,1,1,Bayern Munich,German Bundesliga,3.51,0.43,93.96
1,2,2,Manchester City,Barclays Premier League,2.86,0.24,92.84
2,3,3,Barcelona,Spanish Primera Division,3.01,0.5,90.16
3,4,4,Liverpool,Barclays Premier League,2.79,0.46,88.95
4,5,5,Paris Saint-Germain,French Ligue 1,2.89,0.52,88.85
5,6,6,Borussia Dortmund,German Bundesliga,2.52,0.4,87.68
6,7,7,Atletico Madrid,Spanish Primera Division,2.38,0.37,87.04
7,8,8,Real Madrid,Spanish Primera Division,2.62,0.49,87.01
8,9,9,Chelsea,Barclays Premier League,2.48,0.47,86.07
9,10,10,RB Leipzig,German Bundesliga,2.43,0.49,85.06
10,11,11,Internazionale,Italy Serie A,2.58,0.59,84.87
11,12,12,Manchester United,Barclays Premier League,2.36,0.52,83.8
12,13,13,Real Sociedad,Spanish Primera Division,2.18,0.44,83.36
13,14,14,Tottenham Hotspur,Barclays Premier League,2.36,0.59,82.27
14,15,15,Napoli,Italy Serie A,2.18,0.51,81.68
15,16,16,Juventus,Italy Serie A,2.4,0.65,81.61
16,17,17,Leicester City,Barclays Premier League,2.21,0.57,80.85
17,18,18,Sevilla FC,Spanish Primera Division,2.04,0.47,80.81
19,20,20,AC Milan,Italy Serie A,2.37,0.71,79.92
21,22,22,Arsenal,Barclays Premier League,2.1,0.56,79.46
22,23,23,Borussia Monchengladbach,German Bundesliga,2.4,0.76,79.22
23,24,24,Villarreal,Spanish Primera Division,2.22,0.65,79.18
24,25,25,Atalanta,Italy Serie A,2.43,0.8,78.74
25,26,26,Bayer Leverkusen,German Bundesliga,2.19,0.67,78.31
26,27,27,AS Roma,Italy Serie A,2.31,0.77,77.94
27,28,28,Wolverhampton,Barclays Premier League,1.81,0.51,76.19
29,30,30,Lyon,French Ligue 1,2.09,0.71,75.79
30,31,31,Lille,French Ligue 1,1.95,0.65,75.02
32,33,33,Everton,Barclays Premier League,2.05,0.74,74.52
33,34,34,Getafe,Spanish Primera Division,1.75,0.55,74.19
35,36,36,TSG Hoffenheim,German Bundesliga,2.33,0.95,74.12
36,37,37,Southampton,Barclays Premier League,1.99,0.72,74.1
37,38,38,West Ham United,Barclays Premier League,2.03,0.75,73.91
39,40,40,Aston Villa,Barclays Premier League,2.11,0.84,73.17
